title,video_id,views,likes,comment_count,published_at,data,hora
PREVIDÊNCIA PRIVADA: RENDA EXTRA TODO MÊS,GKEYIVyhFd4,27568,1750,142,2021-08-24 14:41:40+00:00,2021-08-24,14:41:40
PREVIDÊNCIA PRIVADA: ESCOLHA COMO PREFERE PAGAR O IMPOSTO DE RENDA!,rnL2FOJ9vDE,7398,455,68,2021-08-30 23:31:28+00:00,2021-08-30,23:31:28
C6 TECHINVEST X FORMA TRADICIONAL DE INVESTIR,R7g79-EUMgM,87704,1164,165,2021-09-06 21:56:18+00:00,2021-09-06,21:56:18
PREVIDÊNCIA PRIVADA DESCOMPLICADA: PGBL X VGBL,lUndwv8MZvo,73713,3623,116,2021-09-08 23:18:39+00:00,2021-09-08,23:18:39
COMO PAGAR MENOS IR NA PREVIDÊNCIA PRIVADA?,yLGp_5djoRk,21886,923,67,2021-09-15 22:03:25+00:00,2021-09-15,22:03:25
5 RESPOSTAS PARA ENTENDER O C6 TECHINVEST,Ug3FGkac_-8,58472,594,113,2021-09-23 14:04:15+00:00,2021-09-23,14:04:15
PREVIDÊNCIA PRIVADA: HERANÇA COM MENOS IMPOSTOS,xfFhtwIZlZE,17230,817,51,2021-09-24 17:48:31+00:00,2021-09-24,17:48:31
C6 TECHINVEST: SEJA VOCÊ MESMO SEU ASSESSOR DE INVESTIMENTOS,Lz4wBu56Lsk,40705,192,53,2021-09-27 19:13:11+00:00,2021-09-27,19:13:11
PREVIDÊNCIA PRIVADA: TUDO SOBRE O RESGATE,i-isVaoGhlc,43956,1644,109,2021-09-29 14:55:26+00:00,2021-09-29,14:55:26
DIVERSIFICAÇÃO: NÃO INVISTA TODO SEU DINHEIRO EM UMA COISA SÓ,RHwKWBEHuAE,22986,1690,86,2021-10-05 17:57:32+00:00,2021-10-05,17:57:32
"C6 Investor Talk: para Miles Capital, incertezas do Brasil exigem gestão ativa de fundos",sWWiYkz6-II,6391,429,89,2021-10-07 16:05:51+00:00,2021-10-07,16:05:51
C6 Empresas: é da vida do seu negócio,hrBOtKso2mw,460754,174,26,2021-10-11 13:58:08+00:00,2021-10-11,13:58:08
