title,video_id,views,likes,comment_count,published_at,data,hora
O fim do dinheiro físico está próximo mesmo?| Semanada - Ep.9,gxVm0HNvsRI,12635,1237,148,2021-02-01 11:00:11+00:00,2021-02-01,11:00:11
Como funciona um programa de pontos do cartão de crédito? Vale a pena? | Direto ao Ponto,AmUYGULgpjI,76400,2116,121,2021-02-03 13:00:02+00:00,2021-02-03,13:00:02
O caso que virou Wall Street do avesso | Semanada - Ep.10,ft67TtK1DLE,4549,563,63,2021-02-08 11:00:20+00:00,2021-02-08,11:00:20
O que é renda fixa? Quando vale a pena investir?| Direto ao Ponto,coa_VQE_Fyc,50368,3288,77,2021-02-09 13:00:23+00:00,2021-02-09,13:00:23
"Não era amor, era pirâmide | Semanada - Ep.11",nirN2o7MY7M,7121,808,98,2021-02-15 11:00:25+00:00,2021-02-15,11:00:25
Vida online segura: veja como criar uma senha forte | Direto ao Ponto,kWGLqCExBKU,18959,889,48,2021-02-17 13:00:16+00:00,2021-02-17,13:00:16
Raio-x de um golpe - Quando pedem dinheiro por mensagem | NuComics,XZ2GQRqm38A,10429,1072,65,2021-02-19 14:15:01+00:00,2021-02-19,14:15:01
“Investir não é pra mim”. Será mesmo? | Semanada - Ep.12,Hpv0R_7to1I,4954,667,33,2021-02-22 11:00:19+00:00,2021-02-22,11:00:19
Renda variável: Tem a ver com investir em ações? | Direto ao Ponto,S-3BXHNPvhk,9670,763,29,2021-02-24 13:00:08+00:00,2021-02-24,13:00:08
O open banking pode mudar o mercado bancário. Mas o que raios é open banking? | Semanada - Ep. 13,bMg1ckUHvyQ,10219,937,42,2021-03-01 10:00:09+00:00,2021-03-01,10:00:09
Preciso declarar e devolver o auxílio emergencial no Imposto de Renda 2021? | Direto ao Ponto,t1zdlQ1vASA,40607,1589,181,2021-03-03 14:45:01+00:00,2021-03-03,14:45:01
"Acabando de vez com o tal ""dinheiro não é coisa de mulher"" | Semanada - Ep.14",tvnrm9ZDtWI,3855,402,42,2021-03-08 11:00:16+00:00,2021-03-08,11:00:16
Como declarar a conta do Nubank no Imposto de Renda 2021,t1orKZvRw68,153523,4425,328,2021-03-10 14:45:01+00:00,2021-03-10,14:45:01
Nação Roxa: 35 milhões de clientes em um Nubank em constante evolução,P-q4AdTr0t8,15483,893,130,2021-03-15 15:01:40+00:00,2021-03-15,15:01:40
Como é feito um empréstimo? Fuja das ciladas | Direto ao Ponto,m_Tpy2xk1Jc,24165,1458,132,2021-03-17 14:30:11+00:00,2021-03-17,14:30:11
"Explicando o balanço financeiro 2020 do Nubank: crescimento, prejuízo e tudo que você precisa saber",WkTAfVBDt0M,18946,1049,99,2021-03-18 14:33:12+00:00,2021-03-18,14:33:12
Todo mundo ama o Pix | Semanada - Ep.15,c3z1a0sRxvY,4624,693,38,2021-03-22 11:00:09+00:00,2021-03-22,11:00:09
Nubank vai investir até R$ 1 milhão em startups fundadas por pessoas negras | Novidades Nu,1zUdyHZC8uM,25718,955,208,2021-03-24 17:16:37+00:00,2021-03-24,17:16:37
Semente Preta e Empreendedorismo Negro | Live com David Vélez e Monique Evelle,Hu3L1xNX5IQ,14557,704,57,2021-03-25 05:22:27+00:00,2021-03-25,05:22:27
Ansiedade: ela afeta seu bolso também | Semanada - Ep.16,w-APbPE13LQ,4175,551,52,2021-04-05 11:00:22+00:00,2021-04-05,11:00:22
"A menina que via tudo, até o seu próprio dinheiro.",d87oIS3M4As,10901288,436,44,2021-04-05 19:45:59+00:00,2021-04-05,19:45:59
"O menino que controlava tudo, até a sua vida financeira.",u1kXX7Fo1ps,23310817,1104,75,2021-04-05 19:46:02+00:00,2021-04-05,19:46:02
O que é esse tal de Open Banking e como ele te afeta? | Direto ao Ponto,tjApQQjYSLI,75343,5261,167,2021-04-07 14:30:11+00:00,2021-04-07,14:30:11
Sabia que dá pra comprar um meme? | Semanada - Ep.17,mvS5grEcwLM,4219,479,25,2021-04-12 11:00:17+00:00,2021-04-12,11:00:17
Como resolver a falta de tempo pra cuidar do dinheiro? | Semanada Ep. 18,aPN0NSNSWV8,5128,572,33,2021-04-19 11:00:00+00:00,2021-04-19,11:00:00
Quer começar a organizar suas finanças pessoais? Estes 5 passos podem ajudar | Direto ao Ponto,b3BaOcaaKwE,15813,1283,54,2021-04-21 12:00:31+00:00,2021-04-21,12:00:31
Raio-x de um golpe - Boleto Falso | NuComics,_oI3_1qtp9g,12016,1323,70,2021-04-28 14:45:01+00:00,2021-04-28,14:45:01
O golpe taí… Dá pra fugir? | Semanada  - Ep.19,zQ9Wyoku0-g,6918,1034,73,2021-05-03 11:00:17+00:00,2021-05-03,11:00:17
Compras online? Usar o cartão virtual é a melhor opção| Direto ao Ponto,psj84EJ_3OU,494479,17308,440,2021-05-03 15:15:01+00:00,2021-05-03,15:15:01
